unique_id,ds,yhat,yhat_lower,yhat_upper
Atorvastatin,2026-04-01,1180422.6607448992,960633.2716082555,1400469.5712720065
Atorvastatin,2026-05-01,1057491.3097737369,831565.7106186443,1273124.3299738585
Atorvastatin,2026-06-01,1156882.623579787,942132.7966773009,1387836.4757140803
Atorvastatin,2026-07-01,1048976.856990092,847683.3762930228,1269048.110883375
Atorvastatin,2026-08-01,1155500.8961306096,930294.0255766151,1377902.1661435417
Atorvastatin,2026-09-01,1084871.8030315398,865017.401292782,1284589.9541214146
Atorvastatin,2026-10-01,1170824.9476465809,965151.586863954,1377087.9847415306
Atorvastatin,2026-11-01,1154323.7924709604,933217.1162557869,1372364.5758038056
Atorvastatin,2026-12-01,1213669.1146172262,1002302.8947271222,1417883.2655971483
Atorvastatin,2027-01-01,1276507.7591604886,1041136.0253103413,1498998.7301941453
Atorvastatin,2027-02-01,1123868.8153061948,900606.7471859575,1347367.6347831665
Atorvastatin,2027-03-01,1193024.628951086,985111.6207186825,1423701.5512074004
Gabapentin,2026-04-01,338054.955536284,257782.8551157964,422117.18195047916
Gabapentin,2026-05-01,305402.60493543197,224918.40095916262,381205.5812589
Gabapentin,2026-06-01,351751.6988785956,269691.47312243894,435435.04292327346
Gabapentin,2026-07-01,292250.8555032561,209332.21555955347,367542.60639448743
Gabapentin,2026-08-01,317413.51596453815,227502.58446975274,399251.68022109347
Gabapentin,2026-09-01,278097.370077646,202197.97381703803,356705.36847176106
Gabapentin,2026-10-01,340990.0120299024,255260.61261785158,417416.1948429933
Gabapentin,2026-11-01,308233.5749357677,223425.1732492892,386064.1806258906
Gabapentin,2026-12-01,356638.6328506777,278101.6098584292,438327.47536601505
Gabapentin,2027-01-01,335561.6258509601,255117.35166055866,415635.6545703225
Gabapentin,2027-02-01,263802.28805430274,186817.43538675553,341318.1126308928
Gabapentin,2027-03-01,352211.5243556355,267650.9691045357,433331.14918815944
Levothyroxine sodium,2026-04-01,613082.1777658579,483910.31241932284,741161.9265172341
Levothyroxine sodium,2026-05-01,460791.5693345304,328590.32782661734,600297.5712609242
Levothyroxine sodium,2026-06-01,564192.6876656124,430898.29133799043,686812.0313223916
Levothyroxine sodium,2026-07-01,507458.5877314692,375290.5003644064,643219.4196101361
Levothyroxine sodium,2026-08-01,515711.64245234465,380225.8557378512,638698.1308348746
Levothyroxine sodium,2026-09-01,496273.5608730746,368159.91232337576,619771.4045912581
Levothyroxine sodium,2026-10-01,538488.7933471896,401323.85578308377,671637.2178330409
Levothyroxine sodium,2026-11-01,547478.3969087717,420133.3145787557,678025.5091692526
Levothyroxine sodium,2026-12-01,575208.917214842,454536.1363041011,701015.999220776
Levothyroxine sodium,2027-01-01,532628.6780124133,401988.727745053,663031.6043219687
Levothyroxine sodium,2027-02-01,505741.1261526807,370798.5560303933,640857.2026783924
Levothyroxine sodium,2027-03-01,577462.6849668332,453625.3683403874,710592.6565080339
Metformin hydrochloride,2026-04-01,1107065.5963701054,881527.2437071754,1337018.271908722
Metformin hydrochloride,2026-05-01,931454.8655312255,698310.3052920054,1169732.5640764213
Metformin hydrochloride,2026-06-01,1070802.911840807,834732.9168895709,1285491.1383050005
Metformin hydrochloride,2026-07-01,918791.9726369989,679889.9062020279,1144023.4263223296
Metformin hydrochloride,2026-08-01,1012769.4391645266,789856.3596481273,1258390.1576860475
Metformin hydrochloride,2026-09-01,1046364.3004111553,806464.6039449165,1267766.5452841402
Metformin hydrochloride,2026-10-01,1005629.0250488619,762799.7656813447,1225287.8890644126
Metformin hydrochloride,2026-11-01,1093936.3069924957,883536.219112139,1334407.8812047709
Metformin hydrochloride,2026-12-01,1122648.9746849507,890197.4508029281,1363450.2782867348
Metformin hydrochloride,2027-01-01,1043067.4551355864,818488.9554398097,1278846.700425213
Metformin hydrochloride,2027-02-01,1025238.6119862183,792556.5544001285,1258437.7300802537
Metformin hydrochloride,2027-03-01,1131826.3935054543,890784.1159330634,1362732.974115177
Paracetamol,2026-04-01,1228855.6421620897,994505.2097393152,1463190.8379481938
Paracetamol,2026-05-01,1033283.9855221678,783405.1966866199,1275417.2914852395
Paracetamol,2026-06-01,1310921.4201766911,1065509.6250334654,1561990.0473731086
Paracetamol,2026-07-01,1172099.1926498043,916307.6192643848,1417876.161797053
Paracetamol,2026-08-01,1163296.9995679704,905091.3285475349,1438824.8891891118
Paracetamol,2026-09-01,1028390.1987398225,769703.782025382,1295237.895959395
Paracetamol,2026-10-01,1272858.0253317466,1010301.8572229162,1527489.6536038925
Paracetamol,2026-11-01,1269359.8793985292,1024767.4946149598,1528237.837457981
Paracetamol,2026-12-01,1322697.525745987,1059062.5720920863,1562518.4906023797
Paracetamol,2027-01-01,1225252.1524131305,978733.3171517691,1484504.7225012938
Paracetamol,2027-02-01,974802.5901311915,720966.3166367323,1242072.9541758012
Paracetamol,2027-03-01,1204244.0480357804,947216.6756088181,1473691.1402690725
Pregabalin,2026-04-01,237522.31326284463,189689.31575750062,286884.02938884636
Pregabalin,2026-05-01,214984.28544633105,162501.6417823438,264326.0535129653
Pregabalin,2026-06-01,238919.50522583807,191823.77128738366,286149.1460379623
Pregabalin,2026-07-01,219030.96641128298,173378.1525264384,266528.8629205765
Pregabalin,2026-08-01,240041.92056631471,191743.18237605644,287656.04125675757
Pregabalin,2026-09-01,228507.44358435366,180434.95320854985,275333.53519729053
Pregabalin,2026-10-01,233709.39413066834,186434.43755543343,280804.7510574333
Pregabalin,2026-11-01,242692.114786497,193207.39747303785,294303.6807447643
Pregabalin,2026-12-01,249413.69706174187,200824.89487319803,300631.6180877186
Pregabalin,2027-01-01,244833.14213002173,196877.9209449164,297196.91565824696
Pregabalin,2027-02-01,217268.2783199547,167183.86625660068,266163.7220306283
Pregabalin,2027-03-01,252858.62996403317,204015.9589521913,301458.11701238336
Ramipril,2026-04-01,562259.4882484234,448753.79765661707,672328.1899359915
Ramipril,2026-05-01,506473.54054346087,388149.7915160917,621766.7790654144
Ramipril,2026-06-01,550452.7773853097,433616.0666617161,658482.427764044
Ramipril,2026-07-01,462268.0002927359,344029.9443748641,572023.8971494428
Ramipril,2026-08-01,524418.9781513796,408084.72391835996,642215.1790375174
Ramipril,2026-09-01,505799.7435429771,387195.2486353227,620287.7266825703
Ramipril,2026-10-01,583465.1479347196,458750.3310461783,695521.7010715593
Ramipril,2026-11-01,579415.001689253,462556.9025350937,695666.2511376954
Ramipril,2026-12-01,565684.0218050915,442141.9024711231,681740.9829568763
Ramipril,2027-01-01,539221.9541519195,417683.865017525,651205.4474626371
Ramipril,2027-02-01,461313.78706243436,352995.3942995922,572236.0490687827
Ramipril,2027-03-01,545295.3094617833,433602.770452367,667748.5567474066
Venlafaxine,2026-04-01,101277.22345785119,80032.80926705294,121541.2247759902
Venlafaxine,2026-05-01,95261.27049740311,75032.7253136184,116559.56545930529
Venlafaxine,2026-06-01,102467.09317464754,82980.42797860477,120756.33995662697
Venlafaxine,2026-07-01,91478.22766782834,71209.00063762435,111624.09101116232
Venlafaxine,2026-08-01,94304.22415974925,73889.84591137568,113355.8260057726
Venlafaxine,2026-09-01,93748.9385283482,73748.57131139498,115122.882079282
Venlafaxine,2026-10-01,99234.34692040284,78029.11277350425,121685.5580375925
Venlafaxine,2026-11-01,107549.85433594661,88245.43201290854,127479.51164789547
Venlafaxine,2026-12-01,105516.613008012,84159.43830606522,126116.72849953854
Venlafaxine,2027-01-01,107814.71577932911,86485.3320198719,128794.45736574024
Venlafaxine,2027-02-01,91562.19688236072,71017.1073798823,112143.69684450905
Venlafaxine,2027-03-01,105486.62685273844,82486.86255035123,126706.94085937476
